passenger_id,first_name,last_name,totl_spent,spend_rank
651,Kathryn,Sharp,1403.00,225
797,Michelle,Miller,1402.00,226
828,Amy,Wells,1399.00,227
1118,Margaret,Barnett,1394.00,228
248,Jennifer,Jacobs,1392.00,229
1482,Zachary,Schneider,1391.00,230
76,Christian,Chung,1388.00,231
11,Jennifer,Wallace,1383.00,232
9,Lauren,Rodriguez,1382.00,233
694,Tina,Fields,1381.00,234
759,Andrew,Silva,1381.00,234
849,Tina,Christensen,1364.00,236
257,Audrey,Jackson,1354.00,237
1280,Carl,Buckley,1352.00,238
580,Douglas,Soto,1351.00,239
810,Tiffany,Smith,1350.00,240
845,Pamela,Rodriguez,1345.00,241
1097,James,Hess,1344.00,242
304,Tracy,Morrison,1341.00,243
1077,Kimberly,Lane,1337.00,244
171,Willie,Vaughan,1337.00,244
1197,Edwin,Gonzalez,1336.00,246
1007,Linda,Brown,1333.00,247
55,Derrick,Gilbert,1332.00,248
1361,Dennis,Bailey,1332.00,248
364,Katherine,Keller,1326.00,250
1183,Andrew,Anthony,1323.00,251
517,Lisa,Gill,1323.00,251
1398,Michael,Larson,1318.00,253
784,Robert,Arias,1317.00,254
640,Hannah,Taylor,1314.00,255
1399,Julie,Collins,1306.00,256
679,Paul,Johnson,1300.00,257
1127,Susan,Peterson,1299.00,258
510,Steven,Pope,1294.00,259
1020,James,Shields,1282.00,260
227,Cynthia,Chen,1282.00,260
123,Samantha,Harris,1281.00,262
16,Shawn,Moore,1281.00,262
15,Anthony,Nelson,1278.00,264
1443,Natalie,Booth,1278.00,264
604,Cory,Pierce,1273.00,266
578,Cory,Costa,1272.00,267
366,Adrienne,Sherman,1270.00,268
1260,Troy,Brown,1268.00,269
975,Rebecca,Warren,1267.00,270
878,Edward,Smith,1265.00,271
335,Jason,Zamora,1262.00,272
1162,Tara,Shaw,1257.00,273
21,Steven,Elliott,1256.00,274
1485,Lori,Hopkins,1252.00,275
1032,Alyssa,Church,1251.00,276
34,Kelly,Williams,1250.00,277
561,Denise,Jacobs,1250.00,277
218,Casey,Moore,1244.00,279
1208,Jessica,Patrick,1242.00,280
854,Tara,Gonzalez,1237.00,281
1040,Caleb,Day,1236.00,282
535,Dustin,Smith,1236.00,282
111,Wayne,Winters,1235.00,284
475,Michael,Middleton,1233.00,285
1211,Sandra,Williams,1233.00,285
1131,Jordan,Estrada,1231.00,287
124,Brenda,Rogers,1226.00,288
1271,Renee,Evans,1221.00,289
352,Brenda,Gibson,1220.00,290
591,Mark,Bartlett,1212.00,291
794,Vincent,Conley,1210.00,292
702,Brenda,White,1210.00,292
892,Ryan,Rogers,1210.00,292
1320,Jesus,Avila,1210.00,292
60,Gina,Leblanc,1210.00,292
719,Cynthia,Murphy,1210.00,292
957,Jeffrey,White,1210.00,292
22,Lance,Hayes,1202.00,299
150,Jacqueline,Harris,1199.00,300
1477,Ricardo,Burgess,1199.00,300
848,Amy,Thomas,1197.00,302
1099,Douglas,White,1197.00,302
139,Susan,Wells,1183.00,304
1486,Nancy,Brooks,1172.00,305
808,Dawn,Cole,1169.00,306
389,Nicholas,Wu,1159.00,307
136,Pamela,Rivera,1158.00,308
1188,Robert,Shaw,1157.00,309
1021,Jose,Ward,1150.00,310
1143,James,Douglas,1146.00,311
198,Kimberly,Wilson,1144.00,312
208,Tara,Wolfe,1142.00,313
496,Carolyn,Robinson,1140.00,314
631,Timothy,Ramos,1138.00,315
994,Joseph,Frazier,1136.00,316
1267,Courtney,Long,1134.00,317
683,Derek,Gallagher,1134.00,317
1009,Samuel,Price,1131.00,319
1068,Samuel,Rice,1126.00,320
670,Yvonne,Ramos,1126.00,320
1289,Chelsea,Patterson,1125.00,322
1408,Charles,Bryant,1124.00,323
1444,James,Davis,1122.00,324
725,Paul,Walters,1117.00,325
850,Aaron,Contreras,1114.00,326
292,Joshua,Blair,1111.00,327
233,Jerry,James,1109.00,328
1378,Gary,Williams,1101.00,329
431,Nathan,Wu,1101.00,329
950,Ryan,Wagner,1101.00,329
1100,Jeffrey,Anderson,1100.00,332
812,Robert,Williams,1100.00,332
1031,Jennifer,Melendez,1099.00,334
356,Melinda,Mclaughlin,1098.00,335
1247,Felicia,Howard,1098.00,335
8,Vanessa,Buchanan,1096.00,337
1213,Marc,Franklin,1096.00,337
330,James,Sanchez,1092.00,339
1466,Jessica,James,1089.00,340
415,Jennifer,Williams,1084.00,341
1353,Erin,Ryan,1083.00,342
1138,Michael,Trujillo,1079.00,343
1192,John,Wilson,1079.00,343
493,Cynthia,Miller,1076.00,345
345,Henry,Jackson,1071.00,346
1403,Steven,Dixon,1070.00,347
743,Joshua,Cunningham,1069.00,348
1002,Tina,Brandt,1069.00,348
920,Steven,Arnold,1067.00,350
484,Jason,Smith,1064.00,351
911,Maria,White,1058.00,352
1352,Mark,Thornton,1058.00,352
71,Rose,Arnold,1058.00,352
716,Jenny,Roman,1058.00,352
1290,Christy,Greer,1056.00,356
1218,Nancy,Tucker,1056.00,356
289,Kimberly,Nguyen,1056.00,356
309,Robert,Barr,1055.00,359
579,Victoria,Luna,1054.00,360
372,Carlos,Williams,1051.00,361
5,Daniel,Hall,1051.00,361
1064,Amber,Cohen,1042.00,363
138,James,Whitaker,1041.00,364
222,Jessica,Schmidt,1039.00,365
866,Parker,Harvey,1039.00,365
617,Veronica,Brooks,1039.00,365
290,Derek,Cortez,1039.00,365
661,Alexandria,Ingram,1038.00,369
118,Brent,Glass,1038.00,369
1156,Phillip,Martin,1036.00,371
443,David,May,1035.00,372
1070,Michael,Thompson,1029.00,373
299,Monica,Hall,1022.00,374
324,Anthony,Williams,1022.00,374
519,Joseph,Mcintosh,1020.00,376
114,Charles,Bradley,1015.00,377
819,Kenneth,Barton,1015.00,377
1035,Natalie,Bass,1015.00,377
225,Benjamin,Kelly,1015.00,377
62,Mark,Meyer,1014.00,381
1306,Kelly,Patterson,1013.00,382
168,Kristen,Stewart,1012.00,383
349,Christopher,Henderson,1009.00,384
394,Carol,Rivera,1009.00,384
1340,Jacqueline,Austin,1007.00,386
885,Cheryl,Hardy,1007.00,386
489,Michael,Mitchell,1004.00,388
258,Harold,Carlson,1003.00,389
1199,Stacy,Carroll,1001.00,390
215,Mark,Jackson,1000.00,391
45,Michelle,Flores,1000.00,391
425,Sarah,Martin,998.00,393
723,Alexandra,Bentley,994.00,394
820,Lauren,Allen,994.00,394
1228,Katherine,Randolph,993.00,396
1055,Joshua,Mckay,988.00,397
135,Anna,Garcia,984.00,398
562,David,Ortiz,982.00,399
603,Aaron,Hernandez,965.00,400
1176,Nicholas,Juarez,965.00,400
581,Katrina,King,962.00,402
448,Wanda,Terry,962.00,402
857,Joshua,Cooley,962.00,402
1225,Michelle,Moore,961.00,405
921,Heather,Dunn,957.00,406
687,Jamie,Johns,956.00,407
710,Melinda,Avila,953.00,408
880,Katie,Powell,953.00,408
1435,Gina,Cruz,947.00,410
84,Scott,Jordan,942.00,411
229,Randall,Duncan,941.00,412
317,Janet,Hawkins,937.00,413
826,Mike,Williams,937.00,413
1169,Nathan,Gonzalez,934.00,415
1069,Jesse,Dixon,934.00,415
329,Alexa,Diaz,934.00,415
1232,Brandon,Allen,932.00,418
207,Jerome,Rojas,932.00,418
1334,Misty,Gray,932.00,418
98,Maria,Juarez,932.00,418
707,Kimberly,Shields,931.00,422
1159,Cory,Watson,928.00,423
869,Ann,Myers,928.00,423
363,Kristin,Taylor,928.00,423
900,Eddie,Johnson,925.00,426
825,Nina,Gray,925.00,426
205,Jeremy,Stewart,921.00,428
981,Cheryl,Walker,919.00,429
816,James,Phillips,914.00,430
450,Allison,Graves,914.00,430
1063,Derrick,Randolph,911.00,432
1219,Charles,Nichols,909.00,433
934,Paul,Gamble,909.00,433
310,Joseph,Wolfe,909.00,433
779,Heidi,Wagner,909.00,433
264,Melanie,Phelps,909.00,433
232,Nicholas,Escobar,909.00,433
630,Billy,Lynch,909.00,433
897,Jeffrey,Page,907.00,440
1331,Kimberly,Wilson,906.00,441
744,Todd,Smith,896.00,442
870,Sara,Wilson,894.00,443
1254,Victoria,Mcdaniel,893.00,444
615,Matthew,Reed,888.00,445
793,Connor,Huynh,884.00,446
419,Dawn,Young,884.00,446
1445,Julie,Bowen,884.00,446
1072,Jason,Foster,880.00,449
902,Ronald,Jordan,880.00,449
483,Margaret,Martin,879.00,451
273,Noah,Thornton,870.00,452
100,Ashlee,Washington,870.00,452
1495,Jasmine,Marsh,870.00,452
907,Jesus,Thompson,865.00,455
442,Courtney,Powell,863.00,456
414,Scott,George,863.00,456
30,Sarah,Combs,863.00,456
692,Gail,Ortiz,863.00,456
748,Alicia,Adams,859.00,460
1272,Scott,Rogers,855.00,461
69,Robin,Hart,854.00,462
1104,Cathy,Cross,853.00,463
989,Tammy,Kim,847.00,464
1377,Trevor,Jackson,845.00,465
1292,Natalie,Waters,845.00,465
200,Emily,Gray,844.00,467
1056,Wendy,Carter,844.00,467
571,Benjamin,Watts,844.00,467
681,James,Moore,844.00,467
563,Molly,Bass,842.00,471
1375,Laurie,Ferguson,842.00,471
173,Andre,Nunez,834.00,473
213,Brian,Rowe,834.00,473
408,Timothy,Jones,830.00,475
72,Joyce,Smith,827.00,476
1294,Elizabeth,Johnson,822.00,477
313,Hannah,Bowers,822.00,477
405,Barbara,Anderson,822.00,477
495,Elizabeth,Colon,822.00,477
1189,Aaron,Ayers,822.00,477
48,Jessica,Gallagher,822.00,477
697,Donald,Rodriguez,821.00,483
876,Nathan,Hall,815.00,484
1163,Nicole,Todd,814.00,485
785,Edward,Jones,813.00,486
1050,Cody,Williams,807.00,487
199,Ian,Duran,805.00,488
1449,Joshua,Martin,805.00,488
1394,Scott,Owens,804.00,490
1133,Becky,Roberts,795.00,491
973,Gary,Williams,792.00,492
712,Shannon,Harmon,790.00,493
1367,Alison,Haas,789.00,494
1147,Jack,Sanders,783.00,495
381,Jason,Wagner,783.00,495
970,Amanda,White,781.00,497
700,Thomas,Padilla,780.00,498
1420,Lucas,Davis,775.00,499
949,Gregory,Thomas,775.00,499
689,James,Holmes,775.00,499
439,Maria,Clark,773.00,502
751,John,Boyd,773.00,502
1026,Andrew,Gonzalez,771.00,504
997,Rebekah,Gonzalez,765.00,505
621,Jennifer,Allen,764.00,506
1090,Jacob,Anderson,763.00,507
180,Steven,Dixon,763.00,507
1222,Bobby,Hanson,763.00,507
1393,Diane,Santos,763.00,507
105,Paul,Allen,763.00,507
392,Laura,Brown,763.00,507
642,Jessica,Cunningham,761.00,513
1446,Steven,Foley,760.00,514
1041,Victoria,Evans,760.00,514
811,Cody,Ruiz,755.00,516
1121,Michael,Andrews,755.00,516
1096,Steven,Jacobs,754.00,518
480,Dylan,Thomas,744.00,519
1338,Emily,Edwards,741.00,520
1048,Rick,Burgess,738.00,521
297,Shaun,Mason,734.00,522
781,Melissa,Garcia,733.00,523
1308,Yesenia,Thompson,730.00,524
1351,Ernest,Jones,721.00,525
601,Kevin,Arellano,721.00,525
543,Kimberly,Evans,719.00,527
619,Aaron,Gallegos,717.00,528
565,Nicolas,Gonzales,715.00,529
216,Gina,Morgan,713.00,530
1130,Alexis,Curtis,712.00,531
386,Ryan,Carney,711.00,532
1224,Edward,Snyder,711.00,532
789,Bradley,Cook,708.00,534
1018,David,Vazquez,708.00,534
792,Alexis,Jordan,707.00,536
530,John,Butler,707.00,536
1436,Ricky,Zimmerman,707.00,536
244,David,Anderson,707.00,536
814,Thomas,Hill,705.00,540
23,Marc,Alvarez,705.00,540
1227,Charles,Sanchez,705.00,540
714,Edward,Rogers,705.00,540
422,Joseph,Harrington,704.00,544
157,Melissa,Booth,703.00,545
217,Hannah,Howard,702.00,546
146,Jason,Ayala,701.00,547
740,Paul,Clark,701.00,547
910,Eugene,Martinez,701.00,547
1419,Lori,Frey,700.00,550
1080,Melissa,Love,700.00,550
1424,Patricia,Garcia,698.00,552
406,Tina,Harris,698.00,552
801,Derrick,Davis,696.00,554
905,Leslie,Contreras,690.00,555
1335,Ashley,Medina,687.00,556
929,James,Miller,686.00,557
529,Jeffery,Kennedy,680.00,558
685,Tamara,Williams,676.00,559
254,Kimberly,Thomas,676.00,559
523,Brandy,Freeman,676.00,559
544,Christine,Gardner,675.00,562
1135,Andre,Wilson,674.00,563
1255,John,Miranda,674.00,563
912,Jessica,Myers,671.00,565
717,Angela,Ray,666.00,566
871,Kyle,Nguyen,662.00,567
1266,Larry,Parker,660.00,568
628,Alexis,Arroyo,660.00,568
471,Deborah,Smith,660.00,568
1496,Christopher,Rodriguez,660.00,568
256,Emily,Nelson,660.00,568
28,Tammy,Montoya,654.00,573
1166,Jessica,Alvarado,654.00,573
464,Jason,Cruz,654.00,573
1171,Steven,Gonzalez,649.00,576
1456,David,Lawson,648.00,577
1024,Victoria,Turner,648.00,577
890,Victoria,Miller,647.00,579
1186,Eric,Clark,644.00,580
1325,Rhonda,Taylor,643.00,581
397,Marie,Taylor,640.00,582
1167,John,Hill,635.00,583
1123,Jordan,Schroeder,635.00,583
426,Jose,Gibson,635.00,583
1087,Glen,Herrera,630.00,586
88,Sean,Myers,629.00,587
1200,Jennifer,Hayes,626.00,588
99,Misty,Boone,626.00,588
284,Joshua,Todd,626.00,588
887,Benjamin,Williams,626.00,588
964,Janet,Richard,626.00,588
67,Lisa,Dennis,626.00,588
1493,Renee,Collins,624.00,594
87,Jacqueline,Burnett,623.00,595
1293,Troy,Vargas,623.00,595
967,Tamara,Hudson,623.00,595
669,Christine,Jones,623.00,595
1422,Robert,Romero,621.00,599
882,Stephen,Lewis,618.00,600
269,Taylor,Hunt,612.00,601
169,Michael,Robinson,612.00,601
1221,Brian,Yang,611.00,603
314,Carl,Contreras,610.00,604
569,Julie,Walker,610.00,604
1204,Brian,White,610.00,604
465,Jessica,Mayo,610.00,604
1296,Kimberly,Mejia,610.00,604
1249,Eric,Lewis,609.00,609
1258,Nicole,Perez,608.00,610
1440,Courtney,Scott,606.00,611
860,Michelle,Smith,605.00,612
942,Joshua,Logan,601.00,613
1302,Diana,Livingston,601.00,613
1282,Brian,Sharp,601.00,613
807,Bryan,Small,599.00,616
230,Christina,Branch,599.00,616
101,Diamond,Wright,599.00,616
1363,Heather,Roth,593.00,619
1205,Natasha,Miller,588.00,620
1239,Justin,West,587.00,621
1022,James,Russell,580.00,622
1178,Jillian,Carter,579.00,623
78,Sarah,Edwards,578.00,624
323,Ashley,Henry,578.00,624
374,Karen,Shaw,578.00,624
1128,Taylor,Dougherty,576.00,627
388,John,Wells,576.00,627
102,Alan,Cooper,574.00,629
708,Christopher,Bean,574.00,629
1039,Nicholas,Rogers,572.00,631
990,Amanda,Odonnell,572.00,631
654,Laura,Petty,572.00,631
1241,Mark,Roberts,571.00,634
1008,Rebecca,Oliver,571.00,634
235,Diane,Miller,571.00,634
410,John,Yoder,571.00,634
620,Sonia,Nguyen,571.00,634
1270,Angie,Dorsey,571.00,634
1203,Rachel,Bridges,571.00,634
938,Lisa,Hensley,570.00,641
616,Christopher,Adkins,570.00,641
915,Alexander,Hoffman,564.00,643
1431,Becky,Reed,563.00,644
418,Wesley,Bush,562.00,645
119,Austin,Harvey,560.00,646
1303,Kevin,Green,560.00,646
53,Sue,Stevens,557.00,648
347,Jason,Williams,557.00,648
1136,Rebecca,Rivera,554.00,650
277,Wendy,Scott,552.00,651
286,Cheryl,Miller,552.00,651
424,Mathew,Espinoza,547.00,653
982,Sherry,Johnson,547.00,653
584,Thomas,Clark,547.00,653
772,Steven,Marshall,547.00,653
1013,James,Chapman,547.00,653
749,Angela,Sims,541.00,658
1132,Patricia,Colon,541.00,658
955,Lisa,Thomas,541.00,658
595,David,Owens,539.00,661
541,Ryan,Rice,539.00,661
472,Nicholas,Smith,539.00,661
573,Kelly,Romero,536.00,664
151,Kimberly,Decker,536.00,664
511,Louis,Flores,536.00,664
1081,Jay,Bailey,536.00,664
1321,Cynthia,Hunt,534.00,668
485,Karen,Benjamin,532.00,669
1079,Alex,Mullen,532.00,669
1036,Cheryl,Golden,532.00,669
246,Mark,Miller,532.00,669
739,Andrew,Johnson,531.00,673
1259,Lee,Harris,529.00,674
444,Richard,Haynes,529.00,674
1014,Brandon,Watson,529.00,674
58,Alexis,Rogers,529.00,674
195,Bailey,Green,529.00,674
1288,Michael,Holmes,529.00,674
1257,Robert,Dunn,528.00,680
462,William,Schneider,527.00,681
350,Taylor,Miller,527.00,681
319,Matthew,Larson,521.00,683
108,David,Zimmerman,521.00,683
1233,Jason,Phillips,516.00,685
25,Brooke,Hurley,512.00,686
648,Norman,Fisher,512.00,686
380,Yvette,Kirby,512.00,686
762,William,Hughes,510.00,689
346,Justin,Zavala,510.00,689
999,Justin,Farrell,510.00,689
223,Diane,Ferguson,510.00,689
1101,Daniel,Contreras,510.00,689
1038,Charles,Glass,510.00,689
1309,Ronald,Munoz,509.00,695
1478,Brandon,Cook,509.00,695
90,Danielle,Reynolds,509.00,695
473,James,Castillo,508.00,698
526,Pamela,Myers,508.00,698
328,Robert,King,502.00,700
1043,Charles,White,501.00,701
951,Margaret,Ramirez,501.00,701
1319,Ashley,Williams,501.00,701
800,Jesse,Hill,501.00,701
326,Lindsey,Garcia,501.00,701
992,John,Merritt,497.00,706
1174,Whitney,Huff,494.00,707
272,John,Alexander,494.00,707
1330,Derrick,Young,491.00,709
1465,Bobby,Riley,489.00,710
1415,Robert,Torres,488.00,711
1016,Karen,Sanchez,487.00,712
867,Steven,Long,487.00,712
57,Nancy,Smith,485.00,714
863,Kenneth,Jacobs,485.00,714
327,Linda,Weber,485.00,714
1269,Brandi,Jimenez,480.00,717
1316,Chris,Cook,480.00,717
978,Amanda,Garrett,477.00,719
1236,Richard,Evans,477.00,719
979,Jacqueline,Nunez,477.00,719
1479,George,Miller,470.00,722
1364,Aaron,Cochran,470.00,722
1139,Wesley,Nguyen,470.00,722
144,Jeffrey,Savage,470.00,722
1209,Heather,Ruiz,466.00,726
243,Nicholas,James,466.00,726
914,Kelly,Williams,466.00,726
1109,Pamela,Sharp,465.00,729
690,Scott,Hammond,458.00,730
986,Stacy,Wheeler,458.00,730
368,April,Wright,458.00,730
1210,James,Scott,453.00,733
498,Justin,Keller,453.00,733
1346,Jose,Wood,446.00,735
357,Joseph,Wong,446.00,735
506,Eric,Harmon,446.00,735
1489,Sheila,Watson,446.00,735
1085,Elizabeth,Payne,446.00,735
727,Mary,Webster,446.00,735
693,Kathleen,Johnson,446.00,735
589,Nicole,Wilkinson,446.00,735
121,Joseph,Velasquez,445.00,743
675,Valerie,Lewis,445.00,743
1450,Gregg,Moore,445.00,743
1429,Joseph,Lee,445.00,743
1396,Cassidy,Price,441.00,747
1005,Ashley,Cortez,441.00,747
952,Haley,Love,441.00,747
698,Joshua,Reese,441.00,747
935,William,Palmer,440.00,751
1469,Jesus,Alexander,429.00,752
288,Joy,Buckley,429.00,752
274,Cheryl,Pearson,429.00,752
1134,Jennifer,Gallagher,428.00,755
1300,Kathleen,Miller,428.00,755
1484,Michael,Ford,423.00,757
894,Kimberly,Silva,423.00,757
1177,Connie,Edwards,423.00,757
1027,John,Goodman,423.00,757
29,Stacey,Walker,418.00,761
307,Troy,Singh,415.00,762
333,Amanda,Lyons,415.00,762
1062,Timothy,Ortega,413.00,764
509,Cassandra,Wiley,413.00,764
546,Ryan,Turner,413.00,764
711,Calvin,Brown,413.00,764
998,David,Brooks,413.00,764
1400,Colleen,Herrera,411.00,769
855,Christian,Martin,411.00,769
